Term,Location or origin,Targets,"Meaning, origin and notes",References
Ukrop,Russians,Ukrainians,"A disparaging term which means ""dill"" in Russian and Ukrainian, itself derived from ""Ukrainian""<->Ukrop.",
Uncle Tom,United States,Black people,Refers to black people perceived as behaving in a subservient manner to white authority figures.,
Uppity,,Black people,"Refers to black people who are perceived as being arrogant, ""snobby"", or self-important.",
