Term,Location or origin,Targets,"Meaning, origin and notes",References
Xiao Riben,China,Japanese people,,[citation needed]
Xing Ling,Brazil,Chinese people,"Chinese products or low-quality products in general. Sometimes used to refer to Chinese people as well. Etymologically, this term is said to be derived from Mandarin 星零 xing ling (""zero stars"").",
