Term,Location or origin,Targets,"Meaning, origin and notes",References
Tacohead,United States,Mexican people,This phrase is uttered by Willem Dafoe's character (Charlie) in the film Born on the Fourth of July (1989).,
Taffy or Taff,United Kingdom,Welsh people,"First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd).",
"Taig (also Teague, Teg and Teig)",United Kingdom (primarily Northern Ireland),Irish nationalists,"Used by loyalists in Northern Ireland for members of the nationalist/Catholic/Gaelic community. Derived from the Irish name Tadhg, often mistransliterated as Timothy.",
Tanka,China,Tanka people,"A name for a distinct ethnic group traditionally living in boats off the shore of South China. Originally descriptive (""Tan""/""Tang"" is a Cantonese term for boat or junk and ""ka"" means family or peoples, Chinese: 蜑家; Cantonese Yale: Daahn gā / Dahng gā), the term Tanka is now considered derogatory and no longer in common use. The people concerned prefer to call themselves by other names, such as 'Nam Hoi Yan' (Chinese: 南海人; Cantonese Yale: Nàamhóiyàn; lit. 'People of The Southern Sea') or 'Sui Seung Yan' (Chinese: 水上人; pinyin: shuǐshàng rén; Cantonese Yale: Séuiseuhngyàn; lit. 'People Born on The Waters'), and other more polite terms.",
Tar-Baby,United States,Black children,Also used to refer without regard to race to a situation from which it is difficult to extricate oneself. See tar baby.,
Teapot,,Black people,Originates from the 19th century.,
Terrone,Italy,Southern Italian people.,,
Teuchter,Southern Scotland,Northern Scottish people,Used to refer to somebody from the north of Scotland or rural Scottish areas.,
Thicklips,United Kingdom,Black people,,
Tibla,Estonia,Russian or Soviet people,"In widespread use by the Estonian War of Independence, this word was forbidden under the Soviet occupation of Estonia. It may be a shortened corruption of Vitebski, workers from the Vitebsk Governorate during World War I who were seen as dumb. It may also come from the Russian profane addressing ""ty, blyad,"" ""ты, блядь"" (""you bitch"", and the like [a]) or, truncated, ""ty, blya,"" ""ты, бля.",
Tiko,Indonesia,Native Indonesian people,Tiko stands for Tikus kotor (Dirty rat).,
Timber nigger,,Native Americans,Refers to the Native Americans on the East coast living in areas that were heavily forested.,
Timur,,Syrian people from Damascus,Refers to the children born of the mass rapes that the Turco-Mongol Tatar soldiers of Timur committed against the Syrian women of Damascus in the Siege of Damascus (1400).,
Ting tong,United Kingdom,Chinese people or East Asians.,,
"Tinker / tynekere / tinkere / tynkere, -are / tynker / tenker / tinkar / tyncar / tinkard / tynkard / tincker",Britain and Ireland,Lower-class people,"An inconsequential person (typically lower-class) (note that in Britain, the term ""Irish Tinker"" may be used, giving it the same meaning as example as directly below)",[citation needed]
"Tinker / tynekere / tinkere / tynkere, -are / tynker / tenker / tinkar / tyncar / tinkard / tynkard / tincker",Scotland and Ireland,Romani people,origin unknown – possibly relating to one of the 'traditional' occupations of Romanis as traveling 'tinkerers' or repairers of common household objects,
"Tinker / tynekere / tinkere / tynkere, -are / tynker / tenker / tinkar / tyncar / tinkard / tynkard / tincker",Scotland,Native Scottish people,"A member of the native community; previously itinerant (but mainly now settled); who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as ""travelling tinsmiths,"" possibly derived from a reputation for rowdy and alcoholic recreation. Often confused with Romani people.",[citation needed]
Toad,United States,Black people,Prison slang.,
Tonto,United States,Native Americans,"Native American character in the American television and radio programs The Lone Ranger. Spanish for ""Idiot"".",
Touch of the tar brush,Commonwealth,White people with suspected non-white ancestry,Phrase for a person of predominantly Caucasian ancestry with real or suspected African or Asian distant ancestry.,[when defined as?]
Towel head,,Turban wearers,"Often refers specifically to Sikhs, or Arabs and Muslims—based on the traditional keffiyeh headdress. However, in British English, the term is only used to refer to Arabs. Americans use the term 'rag-head' to apply to wearers of turbans as well, because the cloth that makes a turban could be described as a rag, but in British English the term towel-head solely refers to Arabs because the traditional, Middle Eastern keffiyeh, such as the red and white Saudi one or the black and white Palestinian keffiyeh worn by Yasser Arrafat, resemble the most common styles of British tea-towels – dishcloth in American – while Sikh turbans do not.",
Turco-Albanian,"Western Europe, Balkans",Muslim Albanians,"Historically used in Western Europe and still in use within the Balkans to refer to Muslim Albanians. In the Greek language, the expression is rendered as Turkalvanoi.",
Turco,"Argentina, Brazil, Chile","Syrians, Palestinians, Lebanese, Jews, Armenians","Meaning ""Turk"" in Portuguese and Spanish. The term originated in the late 19th century to refer those who came to Brazil, Argentina and Chile from the Ottoman Empire. Since Jews (both Sephardic and Ashkenazi) frequently occupied the same roles as peddlers as Syrians and Lebanese (who were the majority of those with Ottoman passports in Brazil), they were also called ""turcos"" in Brazil. Ironically, there was no relevant immigration of ethnic Turks to Brazil.",
Turk,South Wales,Llanelli residents,"The origin of this term is uncertain; some theories suggest it due to Llanelli's popularity with Turkish sailors in the late 19th to early 20th century or possibly when Turkish migrants heading for the United States stopped in Llanelli and decided to settle due to there being jobs available. However, most likely it's due to the fact that during World War One there was a trade embargo in place during Gallipoli, but Llanelli continued to trade tin with the Turkish; this led to people from neighbouring Swansea and other surrounding areas referring to them as Turks.",
Turko,Sephardic Jews,Ashkenazi Jews,"Ladino word meaning ""Turk"". The exact history of the term is uncertain, but possibly refers to the Khazar hypothesis of Ashkenazi ancestry.",
Twinkie: Not to be confused with Twink (gay slang).,United States,"European Americans, Asian Americans","European Americans with few or no social or genealogical links to an indigenous tribe, who claims to be Native American, particularly a New Age practitioner purporting to be a spiritual leader, healer, or medicine man/woman (). Also an Asian American who has become assimilated into mainstream American culture ().",
