Term,Location or origin,Targets,"Meaning, origin and notes",References
"Dago, Dego","United States, Commonwealth","Italians, Spaniards, Portuguese people","Possibly derived from the Spanish name ""Diego""",
"Dago, Dego",United States,Italian people,,
Dal Khor,Urdu-speaking people,Indians and Pakistanis (specifically Punjabis),"The term literally translates to ""dal eater"", connoting the supposedly higher emphasis on pulses and vegetables in the diet of countryside Punjabis.",
Darky / darkey / darkie,,Black people,"According to lexicographer Richard A. Spears, the word ""darkie"" used to be considered mild and polite, before it took on a derogatory and provocative meaning.",
Dhoti,Nepal,Indian or Madheshi people,As reference to their indigenous clothing Dhoti worn by people of Indian subcontinent.,
Dink,United States,"Southeast Asian, particularly Vietnamese people.","Origin: 1965–70, Americanism. Also used as a disparaging term for a North Vietnamese soldier or guerrilla in the Vietnam War.",
"Dogan, dogun",Canada,Irish Catholics,"[19th century on; origin uncertain: perhaps from Dugan, an Irish surname].",
"Dothead, Dot",,Hindu women,In reference to the bindi.,
Dune coon,United States,Arabian people,equivalent of sand nigger (below).,
