Term,Location or origin,Targets,"Meaning, origin and notes",References
"Eight ball, 8ball",,Black people,"Referring to the black ball in pool. Slang, usually used disparagingly",
Eyetie,"United States, United Kingdom",Italian people,"Originated through the mispronunciation of ""Italian"" as ""Eye-talian"". Slang usually used disparagingly (especially during World War II).",
